"3705"	[2021890.4599999448, 150431.6799999994, 80.20510373279166]
"3712"	[1255329.899999984, 81403.16000000005, 87.50992680376326]
"3719"	[2514294.4799999557, 188595.24999999994, 169.96515108496962]
"3726"	[2212476.1599999443, 163673.6199999999, 171.56297766748946]
"3740"	[1471506.259999995, 98622.60000000041, 108.16717583063767]
"3747"	[378851.48999999743, 32589.129999999972, 56.578776881720046]
"3761"	[137892.66000000012, 11556.119999999999, 34.87421851289836]
"3782"	[881258.8600000129, 69920.91999999997, 88.2494352092943]
"3789"	[2200091.0199999767, 159045.09999999998, 176.1623044278947]
"3803"	[460220.6100000013, 38843.55, 117.79385973893046]
"3831"	[767129.3800000004, 63114.64000000001, 60.0633714375196]
"3838"	[3276161.039999928, 230948.27000000034, 151.80062274116986]
"3845"	[147316.07000000007, 12308.270000000008, 111.35001511715802]
"3852"	[36563.38000000005, 2892.359999999994, 47.36189119170991]
"3859"	[2487853.839999943, 186148.73000000007, 210.0873028204647]
"3866"	[1160366.0100000158, 65290.64999999996, 171.14542920354216]
"3873"	[1303333.0100000096, 71929.99999999994, 175.95963412987842]
"3880"	[947195.6900000072, 51192.44999999995, 180.0752262357428]
"3894"	[515647.7600000024, 35388.32999999955, 60.657306199270955]
"3901"	[658618.210000006, 36795.22999999996, 171.8283876858873]
"3908"	[936019.7600000078, 88155.0, 147.61390316984827]
"3915"	[191718.11999999988, 19679.999999999993, 75.59862776025231]
"3929"	[234739.88999999998, 13527.159999999974, 87.26389962825279]
"3943"	[1321177.5999999694, 106109.20999999963, 42.30611290787311]
"3950"	[229183.46999999997, 20547.19999999999, 32.54984661269705]
"3957"	[313386.94000000105, 26280.98999999999, 58.896248825408954]
"3964"	[587431.6699999959, 50181.35000000044, 48.92410010826983]
"4006"	[882300.4700000124, 59317.16999999999, 182.33115726390008]
"4013"	[801605.7400000046, 59441.34999999997, 148.80373863003612]
"4027"	[1696888.1200000034, 125581.0, 154.17845902235175]
"4034"	[168821.7899999998, 15037.950000000012, 83.16344334975359]
"4041"	[11511.059999999992, 985.3400000000001, 58.431776649746155]
"4062"	[1690136.359999984, 87914.42000000221, 104.9708937333075]
"4069"	[1980253.349999976, 136963.02000000048, 249.68520363131714]
"4076"	[153723.6900000004, 9919.740000000029, 48.60059753398685]
"4083"	[2514307.9999999143, 185315.17999999825, 106.64692908041714]
"4090"	[231377.56999999966, 17923.75, 115.57321178821162]
"4097"	[713916.8099999991, 47632.67999999999, 60.35309916307373]
"4104"	[1852892.1299999878, 193755.12000000026, 246.1006946473619]
"4118"	[910628.9900000006, 74028.11000000002, 110.16561698524082]
"4125"	[408548.2899999994, 35932.19999999999, 39.56500968429202]
"4132"	[875050.4200000211, 65571.89, 109.58677770820553]
"4139"	[510692.9600000058, 32076.129999999564, 122.61535654261843]
"4146"	[1244765.8099999826, 110841.15000000002, 91.36566426893589]
"4153"	[1362810.3299999912, 120689.01000000123, 124.51442028323355]
"4160"	[842759.4000000126, 70290.86000000009, 128.92143184947417]
"4167"	[10876388.920000864, 644128.7899999885, 170.58861507576876]
"4174"	[2191.3, 133.13, 21.913]
"4181"	[132454.5900000004, 11251.219999999972, 43.18701988914262]
"4188"	[266975.12, 19623.25, 194.3050363901019]
"4195"	[959735.5500000011, 81730.37000000018, 103.74397902929425]
"4202"	[1881766.2899999842, 145280.42000000033, 184.86750073680952]
"4209"	[5139944.079999798, 359028.25, 190.99788487978142]
"4223"	[535523.5799999993, 41792.959999999795, 58.57838328593297]
"4230"	[920240.0499999985, 73507.89000000009, 128.83103037939222]
"4251"	[1085659.0099999907, 65570.8399999998, 79.9160110415893]
"4258"	[1304414.2899999882, 104062.51000000007, 143.51571019914053]
"4265"	[2082850.2499999786, 107592.6500000052, 103.38265002233477]
"4272"	[1140857.7800000012, 107015.56999999999, 168.02029160530208]
"4279"	[207367.26000000094, 19636.730000000025, 65.66411019632709]
"4293"	[170285.36999999976, 13113.11, 112.92133289124652]
"4300"	[1179473.4100000015, 87847.49000000017, 168.9305943855631]
"4307"	[567912.409999999, 38759.67999999996, 80.40668412855713]
"4314"	[903.35, 78.75, 100.37222222222222]
"4321"	[763853.8300000046, 72961.6700000001, 111.30028121812686]
"4328"	[307531.7499999997, 20439.95000000001, 71.22087772116714]
"4335"	[123088.8800000003, 7813.9800000000005, 125.72919305413717]
"4349"	[866876.5600000025, 54867.76000000004, 111.45237336076144]
"4356"	[226721.85000000102, 17764.22000000004, 72.13549156856539]
"4363"	[28689.260000000002, 2237.1899999999996, 78.38595628415301]
"4370"	[551794.8300000078, 39417.79999999991, 73.76936229946628]
"4377"	[483461.2700000087, 28727.17999999937, 41.49882145922821]
"4384"	[663545.5200000027, 48318.03000000005, 71.86673020686696]
"4391"	[22912.120000000017, 1956.5099999999993, 90.56173913043484]
"4398"	[213100.22000000012, 17548.310000000027, 105.8094438927508]
"4405"	[654683.4900000078, 44958.28999999993, 46.03315215862803]
"4412"	[258417.38999999955, 17146.27000000012, 71.44522808957687]
"4419"	[379759.0100000037, 26779.169999999842, 78.25242324335538]
"4426"	[1034875.2400000094, 73307.00000000047, 89.38290205562355]
"4433"	[472831.3100000062, 30681.829999999853, 65.48003185154496]
"4440"	[162781.89000000036, 10831.2, 117.36257390050496]
"4447"	[337080.18000000244, 23308.989999999885, 57.08385774767188]
"4454"	[177311.41000000032, 12565.870000000004, 112.15142947501602]
"4461"	[535719.2100000065, 34857.56999999955, 55.337176944531194]
"4468"	[189867.91000000044, 11842.150000000056, 64.8677519644689]
"4475"	[516877.5500000025, 33047.61999999985, 98.82935946462763]
"4482"	[791130.1899999944, 60983.39999999979, 97.10693384067686]
"4489"	[277699.4499999995, 19102.92000000001, 111.57069104057834]
"4496"	[524051.4600000039, 33101.26999999886, 59.17473577235817]
