"Jesse James Distilling Company"	[144730.55999999584, 7580.7]
"Jim Beam Brands"	[203708768.97025594, 13794405.54999377]
"Koenig Distillery Inc"	[686.88, 27.0]
"Local Choice Inc"	[450.0, 18.0]
"Lonely Oak Distillery"	[393798.87, 11961.0]
"Louisville Distilling Co"	[166183.5, 3391.5]
"MISSISSIPPI RIVER DISTIL"	[2850774.930000218, 95556.39000000067]
"Mid-Oak Distillery, Inc."	[20693.25, 1522.9199999999996]
"Middle West Spirits"	[1345.5, 31.5]
"Modern Spirits"	[11719.019999999999, 297.0]
"Mutual Wholesale Liquor Inc"	[220.56, 9.0]
"Norden Spirits LLC"	[288.0, 9.0]
"Oregon Brewing Co"	[15840.240000000002, 387.0]
"PIEDMONT DISTILLERS INC"	[786525.0, 34172.89999999999]
"Park Street Imports-Veev"	[12831.0, 458.25]
"Park Street Imports-Voli"	[20245.329999999936, 791.25]
"Phenix Brands, LLC"	[116.64, 4.5]
"Purple Valley Imports / Glass Revolution Imports"	[202.44, 6.0]
"Purple Valley Imports"	[5273.639999999999, 81.0]
"SUTTER HOME WINERY INC"	[7191.720000000001, 220.5]
"San Bartolo Farms Inc."	[954.0, 18.0]
"Serralles USA"	[384916.9699999997, 21720.5]
"Shaw-Ross International"	[278581.4399999947, 15974.25]
"Sidney Frank Importing Co."	[22716222.600004755, 950203.9999998676]
"Sidney Frank Importing Company, Inc."	[36209.22000000003, 542.86]
"Stoli Group"	[4769732.549999974, 199587.84999999998]
"Suro International Importers, Inc"	[1440.0, 48.0]
"Swell Liquor LLC"	[1307597.9399999941, 113576.0]
"Tattersall Companies, LLC"	[21039.56999999999, 607.5]
"United Spirits Inc"	[2403.6, 192.0]
"VINO COM LLC"	[18929.040000000005, 486.0]
"WILDMAN AND SONS, F."	[100983.00999999978, 1939.5]
"WINDY HILL SPIRITS"	[131.25, 2.25]
"WhistlePig LLC"	[2199.3, 22.5]
"WhistlePig"	[0.0, 0.75]
"Windy Hill Spirits"	[75915.55999999976, 2947.5]
"Woody Creek Distillers"	[318.12, 9.0]
